series_id,title,description,frequency,time_index_start,time_index_end,units,dataset_title,publisher_name,source,theme
151.1_IPENDIETAC_2012_M_36,independientes_monotributo_sin_estac,Independientes con monotributo. Sin estacionalidad.,R/P1M,2012-01-01,2026-05-01,Miles de Personas,Trabajadores registrados según modalidad ocupacional principal. Base 2012,Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
151.1_IPENDIETAC_2012_M_43,independientes_monotributo_social_sin_estac,Independientes con monotributo social. Sin estacionalidad.,R/P1M,2012-01-01,2026-05-01,Miles de Personas,Trabajadores registrados según modalidad ocupacional principal. Base 2012,Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
151.1_TL_ESTADAD_2012_M_20,total_estacionalidad,Total de trabajadores. Con estacionalidad.,R/P1M,2012-01-01,2026-05-01,Miles de Personas,Trabajadores registrados según modalidad ocupacional principal. Base 2012,Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
151.1_TL_SIN_TAC_2012_M_15,total_sin_estac,Total de trabajadores. Sin estacionalidad.,R/P1M,2012-01-01,2026-05-01,Miles de Personas,Trabajadores registrados según modalidad ocupacional principal. Base 2012,Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
152.1_ACULTUREST_2009_M_43,agricultura_ganaderia_caza_silvicultura_est,"Asalariados. Sector privado. Agricultura, ganadería y caza. Con estacionalidad.",R/P1M,2009-01-01,2026-05-01,Miles de Personas,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
152.1_ACULTUREST_2009_M_47,agricultura_ganaderia_caza_silvicultura_sin_est,"Asalariados. Sector privado. Agricultura, ganadería y caza. Sin estacionalidad.",R/P1M,2009-01-01,2026-05-01,Miles de Personas,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
152.1_AVIDADEEST_2009_M_52,actividades_inmobiliarias_empresariales_alquiler_est,"Asalariados. Sector privado. Actividades inmobiliarias, empresariales y de alquiler. Con estacionalidad.",R/P1M,2009-01-01,2026-05-01,Miles de Personas,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
152.1_AVIDADEEST_2009_M_56,actividades_inmobiliarias_empresariales_alquiler_sin_est,"Asalariados. Sector privado. Actividades inmobiliarias, empresariales y de alquiler. Sin estacionalidad.",R/P1M,2009-01-01,2026-05-01,Miles de Personas,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
152.1_CRCIO_REST_2009_M_25,comercio_reparaciones_est,Asalariados. Sector privado. Comercio y reparaciones. Con estacionalidad.,R/P1M,2009-01-01,2026-05-01,Miles de Personas,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
152.1_CRCIO_REST_2009_M_29,comercio_reparaciones_sin_est,Asalariados. Sector privado. Comercio y reparaciones. Sin estacionalidad.,R/P1M,2009-01-01,2026-05-01,Miles de Personas,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
152.1_CTRUCCIEST_2009_M_16,construccion_est,Asalariados. Sector privado. Construcción. Con estacionalidad.,R/P1M,2009-01-01,2026-05-01,Miles de Personas,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
152.1_CTRUCCIEST_2009_M_20,construccion_sin_est,Asalariados. Sector privado. sinstrucción. Sin estacionalidad.,R/P1M,2009-01-01,2026-05-01,Miles de Personas,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
152.1_ENANZA_EST_2009_M_13,ensenanza_est,Asalariados. Sector privado. Enseñanza. Con estacionalidad.,R/P1M,2009-01-01,2026-05-01,Miles de Personas,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
152.1_ENANZA_EST_2009_M_17,ensenanza_sin_est,Asalariados. Sector privado. Enseñanza. Sin estacionalidad.,R/P1M,2009-01-01,2026-05-01,Miles de Personas,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
152.1_EOTACIOEST_2009_M_30,explotacion_minas_canteras_est,Asalariados. Sector privado. Explotación de minas y canteras. Con estacionalidad.,R/P1M,2009-01-01,2026-05-01,Miles de Personas,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
152.1_EOTACIOEST_2009_M_34,explotacion_minas_canteras_sin_est,Asalariados. Sector privado. Explotación de minas y canteras. Sin estacionalidad.,R/P1M,2009-01-01,2026-05-01,Miles de Personas,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
152.1_HLES_REEST_2009_M_24,hoteles_restaurantes_est,Asalariados. Sector privado. Hoteles y restaurantes. Con estacionalidad.,R/P1M,2009-01-01,2026-05-01,Miles de Personas,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
152.1_HLES_REEST_2009_M_28,hoteles_restaurantes_sin_est,Asalariados. Sector privado. Hoteles y restaurantes. Sin estacionalidad.,R/P1M,2009-01-01,2026-05-01,Miles de Personas,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
152.1_IRMEDIAEST_2009_M_29,intermediacion_financiera_est,Asalariados. Sector privado. Intermediación financiera. Con estacionalidad.,R/P1M,2009-01-01,2026-05-01,Miles de Personas,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
152.1_IRMEDIAEST_2009_M_33,intermediacion_financiera_sin_est,Asalariados. Sector privado. Intermediación financiera. Sin estacionalidad.,R/P1M,2009-01-01,2026-05-01,Miles de Personas,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
152.1_ISTRIASEST_2009_M_29,industrias_manufactureras_est,Asalariados. Sector privado. Industrias manufactureras. Con estacionalidad.,R/P1M,2009-01-01,2026-05-01,Miles de Personas,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
152.1_ISTRIASEST_2009_M_33,industrias_manufactureras_sin_est,Asalariados. Sector privado. Industrias manufactureras. Sin estacionalidad.,R/P1M,2009-01-01,2026-05-01,Miles de Personas,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
152.1_PA_ESTEST_2009_M_9,pesca_est,Asalariados. Sector privado. Pesca. Con estacionalidad.,R/P1M,2009-01-01,2026-05-01,Miles de Personas,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
152.1_PA_SIN_EST_2009_M_13,pesca_sin_est,Asalariados. Sector privado. Pesca. Sin estacionalidad.,R/P1M,2009-01-01,2026-05-01,Miles de Personas,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
152.1_SESPECIEST_2009_M_19,sin_especificar_est,Asalariados. Sector privado. Sin especificar. Con estacionalidad.,R/P1M,2009-01-01,2026-05-01,Miles de Personas,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
152.1_SESPECIEST_2009_M_23,sin_especificar_sin_est,Asalariados. Sector privado. Sin especificar. Sin estacionalidad.,R/P1M,2009-01-01,2026-05-01,Miles de Personas,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
